transaction_type,file_name,file_size,file_type,user_id,tags,description,storage_path,version,checksum,acl,thumbnail_path,expiration_date,category,division,business_unit,brand_id,document_type,region,country,languages,alternate_part_numbers
new,technical_manual_v1.pdf,5242880,application/pdf,user-001,"technical,manual,engineering","Technical manual for product X","/documents/tech/manual_v1.pdf",1,abc123def456,"{""read"": [""user-001"", ""user-002""], ""write"": [""user-001""]}","/thumbnails/tech_manual_v1.jpg",2026-12-31,Technical Documentation,Engineering,Product Development,brand-001,Manual,EMEA,Germany,"en,de","PN-001-A,PN-001-B"
new,marketing_brochure.pdf,2097152,application/pdf,user-002,"marketing,sales,brochure","Marketing brochure for product launch","/documents/marketing/brochure.pdf",1,def456ghi789,"{""read"": [""user-002"", ""user-003""], ""write"": [""user-002""]}","/thumbnails/marketing_brochure.jpg",2025-06-30,Marketing Materials,Marketing,Sales,brand-002,Brochure,NA,USA,"en,es","PN-002-A"
update,financial_report_q1.xlsx,1048576,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,user-003,"financial,report,q1","Q1 Financial Performance Report","/documents/finance/report_q1.xlsx",2,ghi789jkl012,"{""read"": [""user-003"", ""user-004""], ""write"": [""user-003""]}","/thumbnails/financial_report_q1.jpg",2024-12-31,Financial Reports,Finance,Corporate,brand-003,Report,APAC,Japan,"en,ja","PN-003-A"
new,user_guide.docx,3145728,application/vnd.openxmlformats-officedocument.wordprocessingml.document,user-004,"user,guide,documentation","Comprehensive user guide for software","/documents/user/guide.docx",1,jkl012mno345,"{""read"": [""user-004"", ""user-005""], ""write"": [""user-004""]}","/thumbnails/user_guide.jpg",2026-06-30,User Documentation,Customer Support,Services,brand-001,Guide,EMEA,UK,"en,fr","PN-004-A,PN-004-C"
update,product_specs.pdf,4194304,application/pdf,user-005,"specifications,technical,product","Detailed product specifications","/documents/tech/specs.pdf",2,mno345pqr678,"{""read"": [""user-005"", ""user-006""], ""write"": [""user-005""]}","/thumbnails/product_specs.jpg",2027-03-31,Technical Documentation,Engineering,Product Development,brand-001,Specification,NA,Canada,"en,fr","PN-005-A"
new,training_presentation.pptx,6291456,application/vnd.openxmlformats-officedocument.presentationml.presentation,user-006,"training,presentation,slides","Employee training presentation","/documents/hr/training.pptx",1,pqr678stu901,"{""read"": [""user-006"", ""user-007""], ""write"": [""user-006""]}","/thumbnails/training_presentation.jpg",2025-09-30,Training Materials,HR,Corporate,brand-003,Presentation,APAC,Australia,"en","PN-006-A"
update,policy_document.pdf,1572864,application/pdf,user-007,"policy,compliance,legal","Company policy and compliance document","/documents/legal/policy.pdf",2,stu901vwx234,"{""read"": [""user-007"", ""user-008""], ""write"": [""user-007""]}","/thumbnails/policy_document.jpg",2026-12-31,Legal Documents,Legal,Corporate,brand-003,Policy,EMEA,France,"en,fr","PN-007-A"
new,api_documentation.pdf,7340032,application/pdf,user-008,"api,documentation,technical","API documentation for developers","/documents/tech/api_docs.pdf",1,vwx234yza567,"{""read"": [""user-008"", ""user-009""], ""write"": [""user-008""]}","/thumbnails/api_documentation.jpg",2026-06-30,Technical Documentation,Engineering,Product Development,brand-001,Documentation,NA,USA,"en","PN-008-A,PN-008-B"
update,marketing_plan.docx,2621440,application/vnd.openxmlformats-officedocument.wordprocessingml.document,user-009,"marketing,plan,strategy","Annual marketing strategy plan","/documents/marketing/plan.docx",2,yza567bcd890,"{""read"": [""user-009"", ""user-010""], ""write"": [""user-009""]}","/thumbnails/marketing_plan.jpg",2024-12-31,Marketing Materials,Marketing,Sales,brand-002,Plan,APAC,Singapore,"en","PN-009-A"
new,quality_report.pdf,2097152,application/pdf,user-010,"quality,report,testing","Quality assurance test report","/documents/quality/report.pdf",1,bcd890efg123,"{""read"": [""user-010"", ""user-001""], ""write"": [""user-010""]}","/thumbnails/quality_report.jpg",2025-12-31,Quality Reports,Quality Assurance,Operations,brand-001,Report,EMEA,Germany,"en,de","PN-010-A"
